stop_id,route_id,city,name,latitude,longitude,adv,shelter_rating,shelter_type,bench_rating,bench_type,trash_can_type,trash_can_rating
1053,10,Montebello,Whitter/2nd,34.008704,-118.102023,Compliant,4,Other,4,Backless w/Â Dividers,Metal / Aluminum,3
1054,10,WestWhittier-LosNietos,Whittier/Western,33.984073,-118.05528,Compliant,Not Present,Not Present,4,Other,Other,3
1055,10,Pico Rivera,Whitter/Myrtle,34.006032,-118.094916,Compliant,4,Other,4,Other,Other,3
1056,10,Whittier,Whittier/Broadway,33.985568,-118.05756,Compliant,4,Other,4,Other,Other,4
1057,10,Pico Rivera,Whitter/Paramount,34.003515,-118.089196,Compliant,Not Present,Not Present,3,Other,Other,3
1058,10,Whittier,Whittier/GlenGarry,33.987794,-118.060763,Compliant,Not Present,Not Present,4,Other,Other,4
1059,10,Pico Rivera,Whitter/Columbia,34.002357,-118.086701,Compliant,3,Other,4,Other,Other,3
1060,10,Whittier,Whittier/Norwalk,33.990229,-118.064342,Compliant,4,Other,4,Other,Other,4
1061,10,Pico Rivera,Whitter & Rosemead,34.000918,-118.083449,Compliant,3,Other,3,Other,Other,3
1062,10,WestWhittier-LosNietos,Whittier/Redman,33.991927,-118.066807,Compliant,Not Present,Not Present,3,Other,Other,3
1063,10,Pico Rivera,Whitter/Lindsey,34.00014,-118.081549,Compliant,3,Other,4,Other,Other,3
1064,10,Whittier,Whittier/Esperanza,33.994307,-118.070426,Compliant,Not Present,Not Present,3,Other,Other,3
1066,10,Pico Rivera,Whittier/Millux,33.997625,-118.074952,Not Present ,Not Present,Not Present,4,Other,Other,3
1067,10,Pico Rivera,Whitter/Passons,33.998381,-118.077696,Compliant,4,Other,3,Other,Other,3
1068,10,Pico Rivera,Whittier/Passons,33.999027,-118.078179,Not Present ,4,Other,4,Other,Other,4
1069,10,Pico Rivera,Whitter/Millux,33.997587,-118.075464,Compliant,Not Present,Not Present,4,Other,Other,4
1071,10,Whittier,Whitter/Pioneer,33.993952,-118.07017,Compliant,Not Present,Not Present,3,Other,Other,3
1072,10,Pico Rivera,Whittier/Lindsey,34.000179,-118.08092,Compliant,Not Present,Not Present,3,Other,Other,3
1073,10,WestWhittier-LosNietos,Whitter/Redman,33.991912,-118.067221,Compliant,Not Present,Not Present,Not Present,Not Present,Other,2
1074,10,Pico Rivera,Whittier/Rosemead,34.001795,-118.084551,Not Compliant,4,Other,3,Other,Other,3
1075,10,Whittier,Whitter/Norwalk,33.989615,-118.063912,Compliant,4,Other,4,Other,Other,4
1076,10,Pico Rivera,Whittier/Columbia,34.002479,-118.086158,Compliant,Not Present,Not Present,4,Other,Other,2
1077,10,Whittier,Whitter/GlenGarry,33.987567,-118.060838,Compliant,Not Present,Not Present,4,Other,Other,3
1078,10,Pico Rivera,Whittier/Paramount,34.003373,-118.088335,Compliant,2,Other,4,Other,Other,4
1079,10,Whittier,Whitter/Broadway,33.98548,-118.057604,Not Compliant,3,Other,5,Other,Other,3
1080,10,Pico Rivera,Whittier/Myrtle,34.006222,-118.094987,Compliant,4,Other,4,Other,Other,3
1081,10,WestWhittier-LosNietos,Whitter/Western,33.984168,-118.055745,Compliant,Not Present,Not Present,Not Present,Not Present,Other,3
1082,10,Montebello,Whittier/4th,34.00932,-118.104342,Compliant,4,Black Shelter,4,Backless w/Â Dividers,Metal / Aluminum,3
1083,10,Whittier,Whitter/Hadley,33.982931,-118.053789,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1084,10,Montebello,Whittier/6th,34.009741,-118.106379,Compliant,4,Black Shelter (Title Roof),4,Backless w/Â Dividers,Metal / Aluminum,2
